place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJdbeXHQAvdTERilQW5nk_Dgc,ThiBa,Hidden cafe,,491,4.3,"Name: This & That Coffee and Tea
Link: https://www.google.com/maps/search/This+%26+That+Coffee+and+Tea/@10.765887399999999,106.6826902?authuser=0&hl=vi&entry=ttu
Reviews: 307 reviews

Name: Coffee building
Link: https://www.google.com/maps/search/Coffee+building/@10.774021,106.7041356?authuser=0&hl=vi&entry=ttu
Reviews: 73 reviews

Name: Cà Phê Cô Ba Thì
Link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+C%C3%B4+Ba+Th%C3%AC/@10.7693319,106.6894281?authuser=0&hl=vi&entry=ttu
Reviews: 63 reviews

Name: Cà phê Thi - Thi Coffee
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+Thi+-+Thi+Coffee/@10.769289400000002,106.68708219999999?authuser=0&hl=vi&entry=ttu
Reviews: 48 reviews

Name: TĨNH Coffee & Tea
Link: https://www.google.com/maps/search/T%C4%A8NH+Coffee+%26+Tea/@10.772468199999999,106.6893425?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews",,0705 993 839,,ThiBa (Chủ sở hữu),https://www.google.com/maps/contrib/105677912257197110334,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxuA2fBRIty-aXCDBDFuDd-3nuK-JLVj8zZXqCqqjOJhcyqZaiGBBlJltt22sk9cS4Q6pmmMAG1yzWK5dW7w4-U8CxMlU8k_XCDuUk2kspgq-VTz3rrhhZgsh3dVBW64lVhjfgv=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"Hẻm 68 - 70 Sương Nguyệt Anh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/ThiBa/data=!4m7!3m6!1s0x31752f001d97b775:0x70e3f79e616548a!8m2!3d10.7724682!4d106.6893425!16s%2Fg%2F11wbfg29qs!19sChIJdbeXHQAvdTERilQW5nk_Dgc?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJQ0tQ1covdTERyoCkM0SttZo,Bamos Coffee Quận 7 - Cà phê 24h,"Quán cà phê quận 7: Bamos Coffee mở cửa 24h. Học bài, chơi boardgame, xem trực tiếp bóng đá, nghe Acoustic, đọc sách,... tất cả đều có thể tại Bamos. Bên cạnh đó, xem Tarot chỉ từ 10k ngay khi đi cà phê cũng là một trong những hoạt động yêu thích của khách Bamos gần đây! Đến ngay Bamos, cà phê xuyên đêm, bạn nhé!

Ngại gì không ghé Bamos nếu bạn đang tìm một quán cà phê 24h gần đây!
Coffee near me, in District 7? Let's go to Bamos Coffee, opens 24h.",,1051,4.3,"Name: Amos Coffee
Link: https://www.google.com/maps/search/Amos+Coffee/@10.7385767,106.70847210000001?authuser=0&hl=vi&entry=ttu
Reviews: 373 reviews

Name: Lâm Coffee
Link: https://www.google.com/maps/search/L%C3%A2m+Coffee/@10.740037,106.7066064?authuser=0&hl=vi&entry=ttu
Reviews: 147 reviews

Name: Aloha Coffee - Quận 7
Link: https://www.google.com/maps/search/Aloha+Coffee+-+Qu%E1%BA%ADn+7/@10.7391805,106.69948049999999?authuser=0&hl=vi&entry=ttu
Reviews: 143 reviews

Name: Coffee & Bia Bảo Anh
Link: https://www.google.com/maps/search/Coffee+%26+Bia+B%E1%BA%A3o+Anh/@10.7428561,106.7077183?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",https://bamoscoffee.com/,0707 014 095,,Bamos Coffee Quận 7 - Cà phê 24h (Chủ sở hữu),https://www.google.com/maps/contrib/109045020270036511338,https://lh3.googleusercontent.com/p/AF1QipMHpQ1iyKPRPrgQIMNdomubXt_ddYI_qykBw84-=s1024,Quán cà phê,"Quán cà phê, Quán cà phê động vật, Không gian làm việc chia sẻ, Quán cà phê internet",,,Open All Days,"130 Đ. Số 65, Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/Bamos+Coffee+Qu%E1%BA%ADn+7+-+C%C3%A0+ph%C3%AA+24h/data=!4m7!3m6!1s0x31752fcad5504b43:0x9ab5ad4433a480ca!8m2!3d10.7358027!4d106.706112!16s%2Fg%2F11rlzbv9fd!19sChIJQ0tQ1covdTERyoCkM0SttZo?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJEaK__vcvdTERaP9ZVUNp3XU,YoshiYoshi Coffee & Tea,YoshiYoshi là một brand trà sữa sinh ra để phục vụ đối tượng khách hàng trẻ thích chụp ảnh mà vẫn mang đến được chất lượng sản phẩm chất lượng với giá cả hợp lý.,,782,4.3,"Name: Kai Coffee - Nguyễn Thái Bình
Link: https://www.google.com/maps/search/Kai+Coffee+-+Nguy%E1%BB%85n+Th%C3%A1i+B%C3%ACnh/@10.7684341,106.6989863?authuser=0&hl=vi&entry=ttu
Reviews: 1951 reviews

Name: Cheese Coffee
Link: https://www.google.com/maps/search/Cheese+Coffee/@10.7697079,106.70284629999999?authuser=0&hl=vi&entry=ttu
Reviews: 1068 reviews

Name: 1996 Space & Coffee
Link: https://www.google.com/maps/search/1996+Space+%26+Coffee/@10.7667585,106.69982499999999?authuser=0&hl=vi&entry=ttu
Reviews: 327 reviews

Name: Từ cà phê
Link: https://www.google.com/maps/search/T%E1%BB%AB+c%C3%A0+ph%C3%AA/@10.7686876,106.69876730000001?authuser=0&hl=vi&entry=ttu
Reviews: 20 reviews

Name: Cà phê Như Ý
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+Nh%C6%B0+%C3%9D/@10.768206,106.699215?authuser=0&hl=vi&entry=ttu
Reviews: 3 reviews",https://yoshiyoshivn.com/,0333 302 766,,YoshiYoshi Coffee & Tea (Chủ sở hữu),https://www.google.com/maps/contrib/111980469892856781899,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVjH1Dqpgz4fMfc8TQ79Ba_sPzB0ZqvttgUydMmLI2Tm2EI2QVj8FEiS9xlzay2aA762rfNW_Zw37BU6f7FYe4aI0VlVrho5KO3QifIVGgi7JixAqZ9diBzeptcxWcouWtK5wy=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"132 Đ. Calmette, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 100000",,https://www.google.com/maps/place/YoshiYoshi+Coffee+%26+Tea/data=!4m7!3m6!1s0x31752ff7febfa211:0x75dd69435559ff68!8m2!3d10.7690583!4d106.6986214!16s%2Fg%2F11shxx_623!19sChIJEaK__vcvdTERaP9ZVUNp3XU?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJ0_T-9jYpdTERIEe1bNjXu-4,The Coffee House - Nguyễn Thái Bình,,,2131,4.2,"Name: Kai Coffee - Nguyễn Thái Bình
Link: https://www.google.com/maps/search/Kai+Coffee+-+Nguy%E1%BB%85n+Th%C3%A1i+B%C3%ACnh/@10.7684341,106.6989863?authuser=0&hl=vi&entry=ttu
Reviews: 1951 reviews

Name: K COFFEE Nguyễn Thái Bình
Link: https://www.google.com/maps/search/K+COFFEE+Nguy%E1%BB%85n+Th%C3%A1i+B%C3%ACnh/@10.767889199999999,106.6980662?authuser=0&hl=vi&entry=ttu
Reviews: 245 reviews

Name: 36 The Coffee & Tea
Link: https://www.google.com/maps/search/36+The+Coffee+%26+Tea/@10.7696013,106.69993869999999?authuser=0&hl=vi&entry=ttu
Reviews: 4 reviews

Name: Tứ Café
Link: https://www.google.com/maps/search/T%E1%BB%A9+Caf%C3%A9/@10.768632,106.6988329?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews

Name: Sunny
Link: https://www.google.com/maps/search/Sunny/@10.7683166,106.6987982?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",http://www.thecoffeehouse.com/,028 7303 9079,,The Coffee House - Nguyễn Thái Bình (Chủ sở hữu),https://www.google.com/maps/contrib/103586601749082273809,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz80hWaF6Uaqgl1IxrK5x-Edf_8w7dkHq92HP-CB9x4rOBdiHmFTjwct-NF0vg63Loqui8G8xWiTM8hnrNa5kfiFacHN3_r6EfSfwZsY1jbSQEIDkwp70YfdNUOuwBkZdPX7OruzhehIeI=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"141 Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000",,https://www.google.com/maps/place/The+Coffee+House+-+Nguy%E1%BB%85n+Th%C3%A1i+B%C3%ACnh/data=!4m7!3m6!1s0x31752936f6fef4d3:0xeebbd7d86cb54720!8m2!3d10.7682627!4d106.6988645!16s%2Fg%2F11cltnhysk!19sChIJ0_T-9jYpdTERIEe1bNjXu-4?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJp3-ZsOUpdTERHxQojwOD6bw,Caramew cafe,"Một phiên bản Địa Trung Hải giữa lòng Sài Gòn
Nếu muốn tìm một góc nhỏ yên tĩnh để thư giãn thì đây đúng là một địa điểm phù hợp. quán hẻm yên tĩnh, nhạc êm dịu và giá cả thì lại phải chăng.
Ngoài ra chúng tôi còn cho thuê địa điểm cho dịch vụ chụp hình chuyên nghiệp với phòng make up và thay đồ riêng các bạn nhé…",,363,4.4,"Name: Một Chiếc Cà Phê
Link: https://www.google.com/maps/search/M%E1%BB%99t+Chi%E1%BA%BFc+C%C3%A0+Ph%C3%AA/@10.7893939,106.6778197?authuser=0&hl=vi&entry=ttu
Reviews: 141 reviews

Name: Chín Tám Coffee
Link: https://www.google.com/maps/search/Ch%C3%ADn+T%C3%A1m+Coffee/@10.7905125,106.67754719999999?authuser=0&hl=vi&entry=ttu
Reviews: 123 reviews

Name: Quán cà phê hẻm Trần Quang Diệu
Link: https://www.google.com/maps/search/Qu%C3%A1n+c%C3%A0+ph%C3%AA+h%E1%BA%BBm+Tr%E1%BA%A7n+Quang+Di%E1%BB%87u/@10.7906158,106.6782289?authuser=0&hl=vi&entry=ttu
Reviews: 8 reviews

Name: Fav Coffee shop
Link: https://www.google.com/maps/search/Fav+Coffee+shop/@10.7846499,106.67840199999999?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews

Name: TIỆM HOA TRÀ
Link: https://www.google.com/maps/search/TI%E1%BB%86M+HOA+TR%C3%80/@10.789603999999999,106.67823589999999?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews",,0838 667 887,,Caramew cafe (Chủ sở hữu),https://www.google.com/maps/contrib/117779876337300655406,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzykmRsPoAnQhv5c0jMuKGdkN9lp18anJsUUYkEMcyGzgAf8u8iHTVc62-aEJrMCUqg_I8FH4hD_OUKF3M9A9bM6Tc5AiJ04E990oI4XrQvkSABI8M01nvRK_WXYmit3VZcFOVY=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"108/26A Trần Quang Diệu, Phường 14, Quận 3, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/Caramew+cafe/data=!4m7!3m6!1s0x317529e5b0997fa7:0xbce983038f28141f!8m2!3d10.7903747!4d106.680169!16s%2Fg%2F11rw8yvxj2!19sChIJp3-ZsOUpdTERHxQojwOD6bw?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJd31jBh4vdTERjlNXvRM5zmk,MingCha Tea & Coffee - Bến Vân Đồn,"""Đến với Mingcha là đến với thiên nhiên
Từ những nguyên liệu tươi- sạch- đẹp""",,217,4.4,"Name: LALA Coffee&Tea
Link: https://www.google.com/maps/search/LALA+Coffee%26Tea/@10.7175779,106.70320079999999?authuser=0&hl=vi&entry=ttu
Reviews: 885 reviews

Name: Cherish Coffee
Link: https://www.google.com/maps/search/Cherish+Coffee/@10.758474,106.6941604?authuser=0&hl=vi&entry=ttu
Reviews: 63 reviews

Name: Mya Cafè & Măm Măm
Link: https://www.google.com/maps/search/Mya+Caf%C3%A8+%26+M%C4%83m+M%C4%83m/@10.7571016,106.6919132?authuser=0&hl=vi&entry=ttu
Reviews: 10 reviews

Name: Cà Phê Chất Quận 04
Link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+Ch%E1%BA%A5t+Qu%E1%BA%ADn+04/@10.7611103,106.6980292?authuser=0&hl=vi&entry=ttu
Reviews: 4 reviews

Name: Cà phê 169
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+169/@10.7620299,106.6980164?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",http://mingcha.vn/,0906 817 259,,MingCha Tea & Coffee - Bến Vân Đồn (Chủ sở hữu),https://www.google.com/maps/contrib/117811499063345622251,https://lh3.googleusercontent.com/p/AF1QipNtKk9HSH8PqADFGAxwrch92q16ct57j8Q2qWY-=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"320 Bến Vân Đồn, Phường 2, Quận 4, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/MingCha+Tea+%26+Coffee+-+B%E1%BA%BFn+V%C3%A2n+%C4%90%E1%BB%93n/data=!4m7!3m6!1s0x31752f1e06637d77:0x69ce3913bd57538e!8m2!3d10.7580498!4d106.6933779!16s%2Fg%2F11rq7tsp5c!19sChIJd31jBh4vdTERjlNXvRM5zmk?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJbaeNZCspdTEREadFbltGF9s,Oasis Cafe - Koi Fish Cafe,"We are usually very busy from 10 AM to 8 PM. For a better experience, we recommend visiting our branch at 26/14 Pham Van Dong, Go Vap District, HCMC.
- Ở Chi nhánh Lê Văn Sỹ chúng tôi đang quá tải từ 10 Am - 8 PM, các bàn trong hồ đều hết chỗ, để trải nghiệm đỡ ồn ào và không gian đẹp hơn, kính mời quý khách ghé chi nhánh 1 tại 26/14 Phạm Văn Đồng, phường 3, Gò Vấp, HCM. Hân hạnh đón tiếp các Bạn",,7094,4.5,"Name: PATIO CAFÉ
Link: https://www.google.com/maps/search/PATIO+CAF%C3%89/@10.78894,106.67662299999999?authuser=0&hl=vi&entry=ttu
Reviews: 277 reviews

Name: Ốcđảo_OASIS
Link: https://www.google.com/maps/search/%E1%BB%90c%C4%91%E1%BA%A3o_OASIS/@10.7908574,106.7016089?authuser=0&hl=vi&entry=ttu
Reviews: 19 reviews

Name: T's Coffee
Link: https://www.google.com/maps/search/T's+Coffee/@10.790592499999999,106.672297?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews",https://www.instagram.com/oasiscafevn?igsh=MXc5c2hheDI1dzZsZg%3D%3D&utm_source=qr,,,Oasis Cafe - Koi Fish Cafe (Chủ sở hữu),https://www.google.com/maps/contrib/104885862612488797123,https://lh3.googleusercontent.com/p/AF1QipM_At9_M2vSGK4lA90S8crLNnRIuB1UQ21RfLQp=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"176/1b Đ. Lê Văn Sỹ, Phường 10, Phú Nhuận, Thành phố Hồ Chí Minh 700000",,https://www.google.com/maps/place/Oasis+Cafe+-+Koi+Fish+Cafe/data=!4m7!3m6!1s0x3175292b648da76d:0xdb17465b6e45a711!8m2!3d10.7928157!4d106.6709737!16s%2Fg%2F11c1cy8cnl!19sChIJbaeNZCspdTEREadFbltGF9s?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJ2xLDhkgvdTER0oU_cPXs3Yo,TÁM COFFEE & TEA,Chúng tôi phải luôn giữ vững giá trị của mình. Tinh thần | Chất lượng | Số lượng . Nhưng chúng tôi phải thường xuyên tự làm mới mình * TÁM COFFEE *,,480,4.2,"Name: Là Việt Coffee
Link: https://www.google.com/maps/search/L%C3%A0+Vi%E1%BB%87t+Coffee/@10.785765,106.6936042?authuser=0&hl=vi&entry=ttu
Reviews: 1137 reviews

Name: Tám Coffee
Link: https://www.google.com/maps/search/T%C3%A1m+Coffee/@10.7752228,106.704698?authuser=0&hl=vi&entry=ttu
Reviews: 122 reviews

Name: Tâm coffee
Link: https://www.google.com/maps/search/T%C3%A2m+coffee/@10.792299,106.696091?authuser=0&hl=vi&entry=ttu
Reviews: 17 reviews

Name: TAM COFFEE
Link: https://www.google.com/maps/search/TAM+COFFEE/@10.775037,106.700142?authuser=0&hl=vi&entry=ttu
Reviews: 4 reviews

Name: Tám Coffee
Link: https://www.google.com/maps/search/T%C3%A1m+Coffee/@10.8147255,106.68709559999999?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews",,0903 897 418,,TÁM COFFEE & TEA (Chủ sở hữu),https://www.google.com/maps/contrib/110580488482231002003,https://lh3.googleusercontent.com/p/AF1QipMIRGtxcaSh2n9yY-OPsmBSTTfduaDNKtanEOg=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"74e Hai Bà Trưng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000",,https://www.google.com/maps/place/T%C3%81M+COFFEE+%26+TEA/data=!4m7!3m6!1s0x31752f4886c312db:0x8addecf5703f85d2!8m2!3d10.7785093!4d106.7031988!16s%2Fg%2F11clwm811j!19sChIJ2xLDhkgvdTER0oU_cPXs3Yo?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJWy51wD4vdTERRNVtx5Vw-NE,Cafe Vy,,,1186,4.1,"Name: Cà Phê Vy
Link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+Vy/@10.763784,106.690534?authuser=0&hl=vi&entry=ttu
Reviews: 27 reviews

Name: The vCafe
Link: https://www.google.com/maps/search/The+vCafe/@10.7729512,106.6969688?authuser=0&hl=vi&entry=ttu
Reviews: 8 reviews

Name: Vy
Link: https://www.google.com/maps/search/Vy/@10.7713482,106.69643330000001?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews

Name: Cafe 27
Link: https://www.google.com/maps/search/Cafe+27/@10.77455,106.698627?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews

Name: Café Vy Vy
Link: https://www.google.com/maps/search/Caf%C3%A9+Vy+Vy/@10.7590504,106.65918939999999?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",,028 3829 5416,1,Cafe Vy (Chủ sở hữu),https://www.google.com/maps/contrib/115950531312844408403,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGEv0E-8VS7tcn7NCdvzO_SH1y1RoF-mLs8_kTdKRJjLCqk4z6rLAln8oR919zQTa7gk-Pyuc5W_I4vO8UwwG2sC0X__ilM0zIHu6qYGj9tVGSNZIW_BABR6Ay6rzgfda9T2lRdHAiAS8=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"277E Lê Thánh Tôn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/Cafe+Vy/data=!4m7!3m6!1s0x31752f3ec0752e5b:0xd1f87095c76dd544!8m2!3d10.7716122!4d106.6955211!16s%2Fg%2F11r96m7yt!19sChIJWy51wD4vdTERRNVtx5Vw-NE?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
ChIJhViw6j4vdTERREUJTZUVG04,Cafe Nguyen Hoang,,,47,4.1,"Name: cà phê ống
Link: https://www.google.com/maps/search/c%C3%A0+ph%C3%AA+%E1%BB%91ng/@10.772834,106.6900818?authuser=0&hl=vi&entry=ttu
Reviews: 118 reviews

Name: Cafe Nguyễn Hoàng
Link: https://www.google.com/maps/search/Cafe+Nguy%E1%BB%85n+Ho%C3%A0ng/@10.7805831,106.67985829999999?authuser=0&hl=vi&entry=ttu
Reviews: 82 reviews

Name: Cà phê Corner
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+Corner/@10.780737900000002,106.70519709999999?authuser=0&hl=vi&entry=ttu
Reviews: 34 reviews

Name: Cafe nguyễn du
Link: https://www.google.com/maps/search/Cafe+nguy%E1%BB%85n+du/@10.774526,106.69598219999999?authuser=0&hl=vi&entry=ttu
Reviews: 10 reviews",,028 3829 5416,1,Cafe Nguyen Hoang (Chủ sở hữu),https://www.google.com/maps/contrib/102234791947888393587,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwPBhRXZNmae90vTzwl56aUWJFm43vAsYokQTKnmJ1KlgQdy3ESJu4JN83lqhyLht9exe_baQErzqGQxAwXX1wqYjIxD2CDF4_z9UvcTLGV_CuxLMsiWe4JtfWcFacJC3WI0k4qsA=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"277E Lê Thánh Tôn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",,https://www.google.com/maps/place/Cafe+Nguyen+Hoang/data=!4m7!3m6!1s0x31752f3eeab05885:0x4e1b15954d094544!8m2!3d10.7716122!4d106.6955211!16s%2Fg%2F11cn8sj_y1!19sChIJhViw6j4vdTERREUJTZUVG04?authuser=0&hl=vi&rclk=1,cà phê ở thành phố hồ chí minh
